startup_id,name,website,city,country,region,primary_industry,industry_tags,industry_raw,description,founded_year,funding_usd,funding_raw,revenue_usd,revenue_raw,funding_stage,last_round_raw,team_size_min,team_size_max,team_size_category,team_size_raw,founders_list,investors_list
S0001,Wonderful (wonderful.ai),https://wonderful.ai,Tel Aviv,Israel,Middle East,AI/ML,AI/ML,AI,"20 Jan 2026—I reviewed public updates about Wonderful (wonderful.ai) and consolidated the most relevant developments, keeping details specific to this ...",,34000000.0,$34M,,,,,,,,,,
S0002,Guardio (guard.io),https://guard.io,Tel Aviv,Israel,Middle East,Cybersecurity,Cybersecurity,Cybersecurity,"Our team blends deep Cyber Security expertise, product, and marketing to bring Guardio protection to as many individuals and SMBs as possible, all while providing a slick and easy user experience.",2018.0,127000000.0,$127M,,,,,,,,,,
S0003,Torq (Formerly StackPulse),https://torq.io/,Tel Aviv,Israel,Middle East,Insurance,Insurance,Insurance,Torq is your security product’s favorite security product. Torq Hyperautomation unifies and automates the entire security infrastructure to deliver unparalleled protection and productivity.,2020.0,8000000.0,$8m,,,Series B,Series B,,,,,,
S0004,Dream Security,https://dreamgroup.com/,Tel Aviv,Israel,Middle East,Cybersecurity,Cybersecurity,Security,"Dream security will not sell, trade, lease, or rent your personal data to third parties. This site is protected by reCAPTCHA and the Google Privacy Policy and ...",2022.0,35000000.0,$35M,,,,,,,,,,
S0005,AI21 Labs,https://www.ai21.com/,Tel Aviv,Israel,Middle East,AI/ML,AI/ML,AI,"AI21 Labs is an Israeli company specializing in Natural Language Processing (NLP), which develops AI systems that can understand and generate natural language.",2017.0,9500000.0,$9.5M,,,Series D,Series D,500.0,500.0,251-1000,500 employees,,
S0006,Justt (Formerly AcroCharge),https://justt.ai/,Tel Aviv,Israel,Middle East,Fintech,Fintech,Blockchain,"We are an end-to-end chargeback mitigation solution that mitigates chargebacks throughout their entire lifecycle in order to recover online merchants' lost revenue, without them needing to lift a finger.

Our two-way API enables a merchant to efficiently send us data from their system. Once the API ...",2020.0,70000000.0,$70M,,,Series C,Series C,,,,,,
S0007,Parametrix,https://parametrixinsurance.com/,Tel Aviv,Israel,Middle East,Insurance,Insurance,Insurance,Parametrix is the leading provider of parametric insurance for digital business interruption (BI). Our solutions protect against the ...,2019.0,17500000.0,$17.5M,36000000000.0,$36B,Series B,Series B,,,,,,
S0008,CytoReason,https://www.cytoreason.com/,Tel Aviv,Israel,Middle East,AI/ML,AI/ML,AI,"Cyto Reason is a tech company developing a computational model of the human body. The company collects proprietary data from pharma companies and uses it to simulate human diseases – tissue by tissue, cell by cell. With Cyto Reason’s massive database and AI-led platform, pharma and biotech companies...",2016.0,20000000.0,$20m,,,,,,,,,,
S0009,Scopio Labs,https://scopiolabs.com/,Tel Aviv,Israel,Middle East,AI/ML,AI/ML,Morphology Dedicated To Unlocking The Potential Of Imaging And Ai In Hematology,"Scopio Labs is transforming cell morphology analysis, offering fully digital applications, platforms, and diagnostic support that enhance clinical workflows.",2015.0,7000000.0,$7M,,,Series D,Series D,,,,,,
S0010,Silverfort,https://www.silverfort.com/,Tel Aviv,Israel,Middle East,Cybersecurity,Cybersecurity,Cybersecurity,"Silverfort is the first solution enabling enterprises to extend and consolidate their identity protection policies (including MFA and identity-based Zero Trust) across both cloud and legacy IAM infrastructure in a unified manner, using a unique agentless and proxyless technology. It helps enterprise...",2016.0,222000000.0,$222M,,,Series D,Series D,500.0,500.0,251-1000,500 employees,Hed Kovetz | Yaron Kessner,
