raw_tag,canonical_category
3D Technology,Other
3D printing,Robotics/Hardware
AI,AI/ML
AI avatar generation,AI/ML
AI email generation,AI/ML
AI image generation,AI/ML
AI text generation,AI/ML
AI video compression,AI/ML
AI video generation,AI/ML
AI-enabled cybersecurity,Cybersecurity
AI/ML,AI/ML
AIOps,AI/ML
AR/VR,Media/Entertainment
Access control,Cybersecurity
Accounting,Fintech
Accounts payable,Other
Accounts receivable,Other
Adtech,Media/Entertainment
Advanced Materials,Other
Advertising,Media/Entertainment
Advertising Platforms,Media/Entertainment
Advisors,Other
Aerospace,SpaceTech
Aerospace manufacturer,SpaceTech
Affiliate Marketing,Media/Entertainment
AgTech,FoodTech/AgTech
Agricultural biotechnology,Healthcare/Biotech
Agricultural technology (AgTech),FoodTech/AgTech
Agriculture,FoodTech/AgTech
Air pollution,Other
Alternative proteins,FoodTech/AgTech
Alternative seafood,FoodTech/AgTech
Alzheimer's disease,Healthcare/Biotech
Analytics,AI/ML
Anti-money laundering (AML),Fintech
Apartment,Real Estate/PropTech
Application programming interface (API),SaaS/Software
Application software,SaaS/Software
Apps,Other
Architecture,Real Estate/PropTech
Art,Other
Artificial Intelligence (AI),AI/ML
Asset management,Fintech
Auction,Other
Augmented reality,Media/Entertainment
Augmented reality glasses,Media/Entertainment
Autoimmune disease,Other
Automation,Robotics/Hardware
Automotive,EV/Mobility
Automotive industry,EV/Mobility
Autonomous System,Other
Autonomous Vehicles,EV/Mobility
Autonomous underwater vehicle,EV/Mobility
Autonomous vehicle,EV/Mobility
Avatar (computing),Other
Aviation,Other
B2B,Other
B2C,Other
Baby technology,Other
Bank,Other
Banking,Fintech
Banking as a Service,Fintech
Banking/Fintech,Fintech
Batch production,Other
Battery,CleanTech/Energy
Battery/Energy Storage,CleanTech/Energy
Beauty,E-Commerce/Retail
Beef,Other
Behavioral biometrics,Other
Bicycle-sharing system,EV/Mobility
Big data,Other
Bioinformatics,Healthcare/Biotech
Biology,Other
Biomedical engineering,Healthcare/Biotech
Biometrics,Other
Biopharmaceutical,Healthcare/Biotech
Bioplastic,Other
Bioprinting,Other
Biosensor,Robotics/Hardware
Biotech,Healthcare/Biotech
Biotechnology,Healthcare/Biotech
Bitcoin,Other
Blockchain,Fintech
Blockchain and cryptocurrency,Fintech
Blockchain/Crypto,Fintech
Blockchains And Fintech,Fintech
Blog,Other
Bookkeeping,Other
Brain-computer interface,Other
Broadcasting,Other
Business,SaaS/Software
Business intelligence (BI),SaaS/Software
Business process management,Other
Business software,SaaS/Software
Business travel,Other
COVID-19 testing,SaaS/Software
CRM,SaaS/Software
Caller ID,Other
Cancer,Other
Carbon capture and storage,CleanTech/Energy
Cardiology,Other
Career management,Other
Catering,Other
Cell therapy,Healthcare/Biotech
Cell-based meat,FoodTech/AgTech
Cellular agriculture,FoodTech/AgTech
Chat (industry),Other
Chemical industry,Other
Chemicals Agricultural,Other
Chemistry,Other
Circular Economy,CleanTech/Energy
Circular economy,CleanTech/Energy
Clean technology,Other
CleanTech,CleanTech/Energy
Cleantech,CleanTech/Energy
ClimateTech,CleanTech/Energy
Clinical trial,Other
Cloud,SaaS/Software
Cloud computing,SaaS/Software
Cloud computing security,SaaS/Software
Cloud management,SaaS/Software
