investor_id,investor_name,startup_id,startup_name,city,funding_stage
I0001,Dragonfly,S0228,Bitget,Singapore,Venture Round
I0002,8 Decimal Capital,S0228,Bitget,Singapore,Venture Round
I0003,MX Capital,S0228,Bitget,Singapore,Venture Round
I0004,Transferance Fund,S0228,Bitget,Singapore,Venture Round
I0005,CoinNess,S0228,Bitget,Singapore,Venture Round
I0006,Insight Partners,S0229,Thunes,Singapore,Series D
I0007,Bessemer Venture Partners,S0229,Thunes,Singapore,Series D
I0008,Checkout.com,S0229,Thunes,Singapore,Series D
I0009,Endeavor Catalyst,S0229,Thunes,Singapore,Series D
I0010,Vitruvian Partners,S0229,Thunes,Singapore,Series D
I0011,Andreessen Horowitz,S0230,Nansen,Singapore,Series B
I0012,Accel,S0230,Nansen,Singapore,Series B
I0013,Volt Capital,S0230,Nansen,Singapore,Series B
I0014,Tiger Global Management,S0230,Nansen,Singapore,Series B
I0015,Coinbase Ventures,S0230,Nansen,Singapore,Series B
I0016,Activant Capital,S0231,bolttech,Singapore,Series C
I0017,LeapFrog Investments,S0231,bolttech,Singapore,Series C
I0018,MetLife,S0231,bolttech,Singapore,Series C
I0019,Khazanah Nasional,S0231,bolttech,Singapore,Series C
I0020,Baillie Gifford,S0231,bolttech,Singapore,Series C
I0021,HSG,S0232,Airwallex,Singapore,Secondary Market
I0022,Sequoia Capital,S0232,Airwallex,Singapore,Secondary Market
I0023,Blackbird Ventures,S0232,Airwallex,Singapore,Secondary Market
I0024,Salesforce Ventures,S0232,Airwallex,Singapore,Secondary Market
I0025,Hillhouse Investment,S0232,Airwallex,Singapore,Secondary Market
I0026,Temasek Holdings,S0233,Nium,Singapore,Series E+
I0027,Tribe Capital,S0233,Nium,Singapore,Series E+
I0028,Ripple,S0233,Nium,Singapore,Series E+
I0029,Riverwood Capital,S0233,Nium,Singapore,Series E+
I0030,Vertex Ventures,S0233,Nium,Singapore,Series E+
I0031,Peak XV Partners,S0234,Aspire,Singapore,Series C
I0032,Lightspeed Venture Partners,S0234,Aspire,Singapore,Series C
I0033,B Capital,S0234,Aspire,Singapore,Series C
I0034,Y Combinator,S0234,Aspire,Singapore,Series C
